France, Total Population,  Exposures (Lexis triangle)	Last modified: 13 Sep 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1817   21      1796   131673.32   128042.99   259716.31
 1817   21      1795   144207.56   124457.58   268665.13
 1817   22      1795   143126.75   123423.04   266549.78
 1817   22      1794   136603.21   117601.47   254204.69
 1817   23      1794   135698.00   116689.91   252387.91
 1817   23      1793   130193.90   111743.29   241937.19
 1817   24      1793   129499.63   111017.33   240516.96
 1817   24      1792   124926.44   106899.48   231825.92
 1817   25      1792   124331.10   106287.87   230618.98
 1817   25      1791   120245.98   102631.01   222876.99
 1817   26      1791   119695.55   102109.55   221805.11
 1817   26      1790   120827.52    98758.60   219586.12
 1817   27      1790   119870.89    97839.29   217710.19
 1817   27      1789   119819.73    97839.04   217658.77
 1817   28      1789   118932.71    97018.63   215951.34
 1817   28      1788   119137.25    97235.44   216372.69
 1817   29      1788   118344.68    96524.59   214869.27
 1817   29      1787   119020.30    97123.59   216143.89
 1817   30      1787   118438.41    96609.38   215047.79
 1817   30      1786   120119.00    98034.53   218153.54
 1817   31      1786   119902.82    97831.63   217734.45
 1817   31      1785   111095.05   100444.08   211539.13
 1817   32      1785   110464.48    99795.35   210259.83
 1817   32      1784   110407.70    99844.18   210251.88
 1817   33      1784   109780.29    99207.99   208988.28
 1817   33      1783   109726.85    99261.61   208988.46
 1817   34      1783   109038.81    98578.07   207616.89
 1817   34      1782   108729.56    98399.25   207128.80
 1817   35      1782   107914.09    97609.87   205523.96
 1817   35      1781   107205.23    97069.79   204275.03
 1817   36      1781   106320.76    96220.55   202541.31
 1817   36      1780   104962.70    95699.50   200662.20
 1817   37      1780   104388.85    95204.61   199593.46
 1817   37      1779   103325.74    94259.27   197585.00
 1817   38      1779   102622.65    93641.75   196264.40
 1817   38      1778   101119.52    92290.23   193409.75
 1817   39      1778   100298.32    91555.42   191853.75
 1817   39      1777    98406.62    89840.35   188246.97
 1817   40      1777    97475.78    88995.73   186471.51
 1817   40      1776    95177.20    86899.32   182076.52
 1817   41      1776    94083.32    85888.65   179971.97
 1817   41      1775    99095.76    83391.13   182486.89
 1817   42      1775    97919.04    82374.53   180293.57
 1817   42      1774    95060.84    79949.24   175010.09
 1817   43      1774    94011.25    79036.20   173047.44
 1817   43      1773    91832.51    77190.73   169023.23
 1817   44      1773    90972.08    76439.46   167411.53
 1817   44      1772    89581.69    75275.90   164857.59
 1817   45      1772    88857.91    74648.95   163506.86
 1817   45      1771    87903.24    73879.48   161782.72
 1817   46      1771    87133.08    73218.36   160351.43
 1817   46      1770    84677.41    72341.74   157019.14
 1817   47      1770    83850.68    71546.37   155397.05
 1817   47      1769    84813.11    72534.46   157347.57
 1817   48      1769    83939.66    71703.37   155643.03
 1817   48      1768    84749.53    72567.91   157317.44
 1817   49      1768    83778.02    71654.11   155432.13
 1817   49      1767    84324.36    72293.97   156618.33
 1817   50      1767    83270.21    71306.58   154576.79
 1817   50      1766    83677.80    71825.80   155503.60
 1817   51      1766    82597.90    70811.41   153409.31
 1817   51      1765    78077.99    71527.72   149605.72
 1817   52      1765    77061.00    70462.19   147523.19
 1817   52      1764    76640.51    70279.64   146920.15
 1817   53      1764    75603.46    69183.42   144786.88
 1817   53      1763    75232.75    69029.55   144262.29
 1817   54      1763    74201.72    67923.16   142124.89
 1817   54      1762    73883.48    67795.45   141678.93
 1817   55      1762    72828.07    66648.98   139477.05
 1817   55      1761    72351.17    66345.87   138697.04
 1817   56      1761    71184.65    65083.58   136268.22
 1817   56      1760    68141.80    64453.76   132595.56
 1817   57      1760    67157.84    63363.78   130521.61
 1817   57      1759    66896.74    63158.58   130055.33
 1817   58      1759    65835.69    61997.33   127833.02
 1817   58      1758    65354.37    61585.91   126940.29
 1817   59      1758    64181.90    60331.49   124513.39
 1817   59      1757    63452.17    59698.66   123150.82
 1817   60      1757    62157.07    58347.56   120504.62
 1817   60      1756    61107.90    57427.39   118535.28
 1817   61      1756    59567.48    55871.60   115439.08
 1817   61      1755    57630.73    54468.05   112098.78
 1817   62      1755    56309.61    53118.58   109428.19
 1817   62      1754    55110.79    52080.91   107191.70
 1817   63      1754    53698.98    50657.72   104356.70
 1817   63      1753    52372.79    49486.23   101859.02
 1817   64      1753    50881.00    47992.26    98873.25
 1817   64      1752    49396.17    46649.41    96045.57
 1817   65      1752    47873.53    45121.85    92995.38
 1817   65      1751    46308.49    43676.02    89984.51
 1817   66      1751    44791.27    42151.78    86943.05
 1817   66      1750    43357.57    40715.92    84073.49
 1817   67      1750    41962.18    39257.73    81219.91
 1817   67      1749    40284.43    37746.81    78031.25
 1817   68      1749    38877.21    36288.76    75165.98
 1817   68      1748    37203.89    34782.50    71986.39
 1817   69      1748    35773.56    33322.59    69096.15
 1817   69      1747    34119.27    31843.54    65962.81
 1817   70      1747    32654.45    30377.06    63031.51
 1817   70      1746    31138.55    29039.16    60177.70
 1817   71      1746    29736.93    27661.32    57398.24
 1817   71      1745    28155.66    26464.43    54620.09
 1817   72      1745    26738.74    25096.94    51835.68
 1817   72      1744    25601.61    24101.05    49702.66
 1817   73      1744    24195.55    22754.55    46950.09
 1817   73      1743    23112.37    21795.83    44908.20
 1817   74      1743    21736.50    20477.07    42213.57
 1817   74      1742    20676.76    19515.53    40192.29
 1817   75      1742    19351.47    18235.53    37587.00
 1817   75      1741    18252.19    17204.74    35456.94
 1817   76      1741    16933.31    15919.83    32853.13
 1817   76      1740    16474.09    15357.05    31831.14
 1817   77      1740    15243.30    13980.89    29224.20
 1817   77      1739    14592.77    13524.51    28117.28
 1817   78      1739    13441.11    12252.25    25693.36
 1817   78      1738    12860.27    11827.29    24687.56
 1817   79      1738    11771.90    10652.60    22424.51
 1817   79      1737    11203.36    10223.28    21426.64
 1817   80      1737     9848.40     9129.60    18978.00
 1817   80      1736     9325.35     8676.23    18001.58
 1817   81      1736     8354.59     7737.03    16091.62
 1817   81      1735     7884.35     7341.15    15225.50
 1817   82      1735     6978.07     6474.86    13452.92
 1817   82      1734     6558.86     6123.53    12682.39
 1817   83      1734     5739.03     5345.54    11084.57
 1817   83      1733     5366.47     5029.62    10396.09
 1817   84      1733     4655.06     4355.35     9010.41
 1817   84      1732     4315.34     4054.83     8370.17
 1817   85      1732     3728.45     3494.10     7222.54
 1817   85      1731     3424.91     3215.75     6640.66
 1817   86      1731     2967.40     2772.89     5740.29
 1817   86      1730     2706.68     2532.75     5239.43
 1817   87      1730     2355.46     2187.31     4542.77
 1817   87      1729     2129.71     1983.62     4113.33
 1817   88      1729     1860.50     1715.49     3575.99
 1817   88      1728     1671.67     1550.90     3222.57
 1817   89      1728     1460.17     1340.01     2800.18
 1817   89      1727     1320.67     1221.63     2542.30
 1817   90      1727     1143.24     1048.07     2191.31
 1817   90      1726     1045.30      966.03     2011.33
 1817   91      1726      891.79      820.86     1712.65
 1817   91      1725      820.64      763.18     1583.82
 1817   92      1725      687.22      640.88     1328.09
 1817   92      1724      635.95      599.87     1235.82
 1817   93      1724      522.29      497.83     1020.11
 1817   93      1723      483.57      460.67      944.24
 1817   94      1723      389.33      376.28      765.60
 1817   94      1722      356.30      348.77      705.07
 1817   95      1722      280.27      278.76      559.03
 1817   95      1721      251.98      257.38      509.36
 1817   96      1721      193.92      201.32      395.24
 1817   96      1720      174.61      182.33      356.94
 1817   97      1720      130.84      137.61      268.45
 1817   97      1719      119.42      125.04      244.46
 1817   98      1719       86.82       90.10      176.92
 1817   98      1718       81.45       86.66      168.12
 1817   99      1718       56.93       59.92      116.85
 1817   99      1717       53.75       53.34      107.08
 1817   100     1717       35.10       35.51       70.61
 1817   100     1716       37.55       37.43       74.97
 1817   101     1716       24.46       26.53       51.00
 1817   101     1715       26.03       25.91       51.94
 1817   102     1715       16.29       17.91       34.20
 1817   102     1714       18.14       18.13       36.27
 1817   103     1714       10.95       12.31       23.26
 1817   103     1713       12.36       12.35       24.71
 1817   104     1713        7.09        8.17       15.26
 1817   104     1712        8.60        8.51       17.11
 1817   105     1712        4.78        5.53       10.31
 1817   105     1711        5.85        5.89       11.74
 1817   106     1711        3.10        3.79        6.88
 1817   106     1710        3.83        3.94        7.77
 1817   107     1710        1.87        2.47        4.34
 1817   107     1709        2.54        2.52        5.06
 1817   108     1709        1.16        1.50        2.66
 1817   108     1708        1.74        1.64        3.38
 1817   109     1708        0.77        0.94        1.71
 1817   109     1707        1.19        1.12        2.31
 1817   110+       .        2.21        2.40        4.61
 1818    0      1818   206993.73   217509.51   424503.23
 1818    0      1817   199357.98   207759.51   407117.49
 1818    1      1817   186556.31   191487.55   378043.87
 1818    1      1816   187738.94   192654.00   380392.94
 1818    2      1816   181632.01   185594.56   367226.57
 1818    2      1815   185259.12   194696.96   379956.08
 1818    3      1815   177956.07   186573.12   364529.18
 1818    3      1814   168553.08   174195.13   342748.20
 1818    4      1814   165936.50   171979.06   337915.56
 1818    4      1813   163047.38   168402.63   331450.01
 1818    5      1813   161325.71   167114.14   328439.86
 1818    5      1812   158877.19   164000.83   322878.02
 1818    6      1812   157656.35   163243.66   320900.01
 1818    6      1811   155100.66   159993.60   315094.26
 1818    7      1811   153986.61   159342.94   313329.55
 1818    7      1810   151473.32   159472.19   310945.51
 1818    8      1810   150522.87   158254.51   308777.37
 1818    8      1809   149211.21   156963.56   306174.77
 1818    9      1809   148472.18   155973.09   304445.27
 1818    9      1808   147348.68   154884.63   302233.31
 1818   10      1808   146786.78   154079.14   300865.93
 1818   10      1807   145577.91   152897.46   298475.37
 1818   11      1807   145005.50   152091.98   297097.48
 1818   11      1806   142451.06   149511.37   291962.42
 1818   12      1806   141320.45   148141.23   289461.68
 1818   12      1805   143765.69   144589.61   288355.30
 1818   13      1805   143134.26   143948.27   287082.53
 1818   13      1804   142599.86   143401.85   286001.71
 1818   14      1804   141958.16   142777.62   284735.78
 1818   14      1803   141356.28   142194.22   283550.50
 1818   15      1803   140666.49   141560.60   282227.09
 1818   15      1802   140032.98   140988.45   281021.43
 1818   16      1802   139297.06   140341.05   279638.11
 1818   16      1801   139248.98   140389.65   279638.63
 1818   17      1801   138768.47   140009.72   278778.19
 1818   17      1800   144797.49   140634.95   285432.44
 1818   18      1800   144549.49   140488.47   285037.96
 1818   18      1799   143107.47   139183.87   282291.34
 1818   19      1799   142534.12   138697.50   281231.62
 1818   19      1798   140007.52   136285.00   276292.52
 1818   20      1798   139127.41   135439.98   274567.39
 1818   20      1797   135837.88   132208.86   268046.74
 1818   21      1797   134802.19   131168.16   265970.35
 1818   21      1796   131267.16   127597.79   258864.95
 1818   22      1796   130207.01   126493.28   256700.29
 1818   22      1795   142719.72   122974.70   265694.42
 1818   23      1795   141581.80   121941.53   263523.33
 1818   23      1794   135295.55   116255.00   251550.55
 1818   24      1794   134343.34   115382.89   249726.23
 1818   24      1793   129107.20   110612.40   239719.60
 1818   25      1793   128374.77   109957.00   238331.77
 1818   25      1792   123952.49   105924.80   229877.28
 1818   26      1792   123323.98   105401.83   228725.81
 1818   26      1791   119327.69   101781.52   221109.21
 1818   27      1791   118737.09   101331.06   220068.16
 1818   27      1790   119509.10    97534.80   217043.90
 1818   28      1790   118504.15    96665.45   215169.60
