Year,Age,Cohort,Country,Sex,TL_Deaths,TU_Deaths_Next_Year,Deaths,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1987,84,1903,fin,m,204,247,451,25694,372,350,25701.333333333332
1987,84,1903,nor,f,418,419,837,50694,444,461,50688.333333333336
1987,84,1903,nor,m,365,296,661,25694,204,247,25679.666666666668
1987,84,1903,swe,f,895,926,1821,50694,418,419,50693.666666666664
1987,84,1903,swe,m,800,773,1573,25694,365,296,25717
1988,84,1904,dnk,f,517,541,1058,53062,895,926,53051.666666666664
1988,84,1904,dnk,m,403,372,775,26440,800,773,26449
1988,84,1904,fin,f,526,506,1032,53062,517,541,53054
1988,84,1904,fin,m,239,250,489,26440,403,372,26450.333333333332
1988,84,1904,nor,f,459,441,900,53062,526,506,53068.666666666664
1988,84,1904,nor,m,330,317,647,26440,239,250,26436.333333333332
1988,84,1904,swe,f,991,986,1977,53062,459,441,53068
1988,84,1904,swe,m,796,747,1543,26440,330,317,26444.333333333332
1989,84,1905,dnk,f,573,591,1164,53863,991,986,53864.666666666664
1989,84,1905,dnk,m,391,410,801,26840,796,747,26856.333333333332
1989,84,1905,fin,f,514,534,1048,53863,573,591,53857
1989,84,1905,fin,m,217,261,478,26840,391,410,26833.666666666668
1989,84,1905,nor,f,468,464,932,53863,514,534,53856.333333333336
1989,84,1905,nor,m,339,319,658,26840,217,261,26825.333333333332
1989,84,1905,swe,f,994,991,1985,53863,468,464,53864.333333333336
1989,84,1905,swe,m,815,815,1630,26840,339,319,26846.666666666668
1990,84,1906,dnk,f,552,561,1113,56066,994,991,56067
1990,84,1906,dnk,m,417,396,813,28055,815,815,28055
1990,84,1906,fin,f,519,552,1071,56066,552,561,56063
1990,84,1906,fin,m,286,260,546,28055,417,396,28062
1990,84,1906,nor,f,485,449,934,56066,519,552,56055
1990,84,1906,nor,m,360,353,713,28055,286,260,28063.666666666668
1990,84,1906,swe,f,1007,1011,2018,56066,485,449,56078
1990,84,1906,swe,m,816,815,1631,28055,360,353,28057.333333333332
1900,85,1815,dnk,f,101.65,97.93,199.58,5897.678337131963,229.17262489435092,289.2554072282432,5877.650743020666
1900,85,1815,dnk,m,81.7,78.78,160.48000000000002,3795.3346583562025,159.11985745939648,183.16172845248616,3787.320701358506
1900,85,1815,fin,f,56.92,74.05,130.97,5897.678337131963,101.65,97.93,5898.918337131963
1900,85,1815,fin,m,36.28,42.82,79.1,3795.3346583562025,81.7,78.78,3796.307991689536
1900,85,1815,nor,f,107,97.5,204.5,5897.678337131963,56.92,74.05,5891.968337131963
1900,85,1815,nor,m,89,79,168,3795.3346583562025,36.28,42.82,3793.1546583562026
1900,85,1815,swe,f,281.2483371319596,273,554.2483371319596,5897.678337131963,107,97.5,5900.84500379863
1900,85,1815,swe,m,175.15465835620262,177,352.1546583562026,3795.3346583562025,89,79,3798.667991689536
1901,85,1816,dnk,f,88.97,102.46,191.43,6233.67,281.2483371319596,273,6236.419445710653
1901,85,1816,dnk,m,74.05,75,149.05,4050.99,175.15465835620262,177,4050.374886118734
1901,85,1816,fin,f,66.95,79.06,146.01,6233.67,88.97,102.46,6229.173333333333
1901,85,1816,fin,m,40.18,45.82,86,4050.99,74.05,75,4050.673333333333
1901,85,1816,nor,f,116,107,223,6233.67,66.95,79.06,6229.633333333333
1901,85,1816,nor,m,93.5,78.5,172,4050.99,40.18,45.82,4049.1099999999997
1901,85,1816,swe,f,249,266,515,6233.67,116,107,6236.67
1901,85,1816,swe,m,198,179,377,4050.99,93.5,78.5,4055.99
1902,85,1817,dnk,f,93.86,110.02,203.88,5998.750000000001,249,266,5993.083333333334
1902,85,1817,dnk,m,70.91,79.92,150.82999999999998,3917.019999999999,198,179,3923.3533333333326
1902,85,1817,fin,f,71.94,81.12,153.06,5998.750000000001,93.86,110.02,5993.363333333335
1902,85,1817,fin,m,43.18,33.97,77.15,3917.019999999999,70.91,79.92,3914.0166666666655
1902,85,1817,nor,f,100.5,105.5,206,5998.750000000001,71.94,81.12,5995.6900000000005
1902,85,1817,nor,m,74,70,144,3917.019999999999,43.18,33.97,3920.0899999999992
1902,85,1817,swe,f,256,229,485,5998.750000000001,100.5,105.5,5997.083333333334
1902,85,1817,swe,m,165,168,333,3917.019999999999,74,70,3918.3533333333326
1903,85,1818,dnk,f,100.58,111.25,211.82999999999998,6368.509999999999,256,229,6377.509999999999
1903,85,1818,dnk,m,75.57,80.1,155.67,4330.88,165,168,4329.88
1903,85,1818,fin,f,73.88,85.27,159.14999999999998,6368.509999999999,100.58,111.25,6364.953333333333
1903,85,1818,fin,m,32.03,46.29,78.32,4330.88,75.57,80.1,4329.37
1903,85,1818,nor,f,126.5,112.5,239,6368.509999999999,73.88,85.27,6364.713333333332
1903,85,1818,nor,m,97,86.5,183.5,4330.88,32.03,46.29,4326.126666666667
1903,85,1818,swe,f,231,299,530,6368.509999999999,126.5,112.5,6373.176666666666
1903,85,1818,swe,m,195,214,409,4330.88,97,86.5,4334.38
1904,85,1819,dnk,f,102.06,126.02,228.07999999999998,6338.780000000001,231,299,6316.113333333334
1904,85,1819,dnk,m,75.72,87.12,162.84,4438.959999999999,195,214,4432.626666666666
1904,85,1819,fin,f,77.73,85.96,163.69,6338.780000000001,102.06,126.02,6330.793333333334
1904,85,1819,fin,m,43.71,47.91,91.62,4438.959999999999,75.72,87.12,4435.159999999999
1904,85,1819,nor,f,115,91,206,6338.780000000001,77.73,85.96,6336.036666666668
1904,85,1819,nor,m,85,88,173,4438.959999999999,43.71,47.91,4437.5599999999995
1904,85,1819,swe,f,288,256,544,6338.780000000001,115,91,6346.780000000001
1904,85,1819,swe,m,201,228,429,4438.959999999999,85,88,4437.959999999999
1905,85,1820,dnk,f,115,111.04,226.04000000000002,7034.149999999999,288,256,7044.816666666666
1905,85,1820,dnk,m,82.25,86.24,168.49,5006.340000000002,201,228,4997.340000000002
1905,85,1820,fin,f,78.04,85.77,163.81,7034.149999999999,115,111.04,7035.469999999998
1905,85,1820,fin,m,45.09,59.66,104.75,5006.340000000002,82.25,86.24,5005.010000000002
1905,85,1820,nor,f,145.5,133,278.5,7034.149999999999,78.04,85.77,7031.573333333332
1905,85,1820,nor,m,119.5,100,219.5,5006.340000000002,45.09,59.66,5001.483333333335
1905,85,1820,swe,f,243,240,483,7034.149999999999,145.5,133,7038.316666666666
1905,85,1820,swe,m,200,216,416,5006.340000000002,119.5,100,5012.840000000002
1906,85,1821,dnk,f,101.81,129.82,231.63,7359.280000000001,243,240,7360.280000000001
1906,85,1821,dnk,m,81.68,94.7,176.38,5205.64,200,216,5200.306666666667
1906,85,1821,fin,f,78.23,92.96,171.19,7359.280000000001,101.81,129.82,7349.943333333334
1906,85,1821,fin,m,56.34,66.26,122.60000000000001,5205.64,81.68,94.7,5201.3
1906,85,1821,nor,f,117.5,130.5,248,7359.280000000001,78.23,92.96,7354.370000000001
1906,85,1821,nor,m,89.5,112.5,202,5205.64,56.34,66.26,5202.333333333334
1906,85,1821,swe,f,326,324,650,7359.280000000001,117.5,130.5,7354.946666666668
1906,85,1821,swe,m,209,276,485,5205.64,89.5,112.5,5197.973333333333
1907,85,1822,dnk,f,119.16,125.01,244.17000000000002,7706.700000000001,326,324,7707.366666666668
1907,85,1822,dnk,m,89.69,99.26,188.95,5450.840000000001,209,276,5428.506666666668
1907,85,1822,fin,f,85.04,99.41,184.45,7706.700000000001,119.16,125.01,7704.750000000001
1907,85,1822,fin,m,62.74,67.94,130.68,5450.840000000001,89.69,99.26,5447.6500000000015
1907,85,1822,nor,f,133.5,124,257.5,7706.700000000001,85.04,99.41,7701.910000000001
1907,85,1822,nor,m,115,117,232,5450.840000000001,62.74,67.94,5449.1066666666675
1907,85,1822,swe,f,331,376,707,7706.700000000001,133.5,124,7709.866666666668
1907,85,1822,swe,m,241,264,505,5450.840000000001,115,117,5450.173333333334
1908,85,1823,dnk,f,113.93,115.47,229.4,7905.700000000002,331,376,7890.700000000002
1908,85,1823,dnk,m,93.61,90.76,184.37,5466.0199999999995,241,264,5458.353333333333
1908,85,1823,fin,f,90.59,92.44,183.03,7905.700000000002,113.93,115.47,7905.186666666668
