Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1975,82,m,6416,3219,3197,1893,49984,3038,3127,49954.333333333336
1976,82,f,10256,5117,5139,1894,123090,5297,5530,123012.33333333333
1976,82,m,6050,3096,2954,1894,49909,3219,3197,49916.333333333336
1977,82,f,10191,4977,5214,1895,122356,5117,5139,122348.66666666667
1977,82,m,6047,3002,3045,1895,49823,3096,2954,49870.333333333336
1978,82,f,10956,5480,5476,1896,133210,4977,5214,133131
1978,82,m,7194,3643,3551,1896,58668,3002,3045,58653.666666666664
1979,82,f,10592,5258,5334,1897,134133,5480,5476,134134.33333333334
1979,82,m,7415,3662,3753,1897,61306,3643,3551,61336.666666666664
1980,82,f,10908,5353,5555,1898,134092,5258,5334,134066.66666666666
1980,82,m,7966,3890,4076,1898,63740,3662,3753,63709.666666666664
1981,82,f,10792,5385,5407,1899,139482,5353,5555,139414.66666666666
1981,82,m,8107,4095,4012,1899,68304,3890,4076,68242
1982,82,f,11099,5270,5829,1900,141741,5385,5407,141733.66666666666
1982,82,m,8273,4071,4202,1900,70272,4095,4012,70299.66666666667
1983,82,f,11695,5998,5697,1901,152955,5270,5829,152768.66666666666
1983,82,m,8731,4449,4282,1901,75519,4071,4202,75475.33333333333
1984,82,f,11683,5640,6043,1902,155419,5998,5697,155519.33333333334
1984,82,m,9111,4432,4679,1902,77959,4449,4282,78014.66666666667
1985,82,f,11509,5486,6023,1903,154533,5640,6043,154398.66666666666
1985,82,m,9057,4484,4573,1903,77623,4432,4679,77540.66666666667
1986,82,f,10710,5375,5335,1904,156742,5486,6023,156563
1986,82,m,8480,4251,4229,1904,78114,4484,4573,78084.33333333333
1987,82,f,10460,5214,5246,1905,159077,5375,5335,159090.33333333334
1987,82,m,8380,4241,4139,1905,80751,4251,4229,80758.33333333333
1988,82,f,10579,5325,5254,1906,163379,5214,5246,163368.33333333334
1988,82,m,8600,4407,4193,1906,83124,4241,4139,83158
1956,83,f,8311,4084,4227,1873,66173,4070.904951492289,4939,65883.63498383077
1956,83,m,5596,2800,2796,1873,34972,2777.6174570747144,3390,34767.87248569157
1957,83,f,8564,4278,4286,1874,69461,4084,4227,69413.33333333333
1957,83,m,5910,2972,2938,1874,36923,2800,2796,36924.333333333336
1958,83,f,8753,4260,4493,1875,71634,4278,4286,71631.33333333333
1958,83,m,5909,2882,3027,1875,37676,2972,2938,37687.333333333336
1959,83,f,9306,4380,4926,1876,74894,4260,4493,74816.33333333333
1959,83,m,6080,2956,3124,1876,39117,2882,3027,39068.666666666664
1960,83,f,8558,4211,4347,1877,76266,4380,4926,76084
1960,83,m,5770,2865,2905,1877,39098,2956,3124,39042
1961,83,f,9262,4245,5017,1878,77183,4211,4347,77137.66666666667
1961,83,m,6069,2821,3248,1878,38667,2865,2905,38653.666666666664
1962,83,f,10009,4605,5404,1879,79134,4245,5017,78876.66666666667
1962,83,m,6423,2976,3447,1879,39173,2821,3248,39030.666666666664
1963,83,f,8807,4463,4344,1880,78625,4605,5404,78358.66666666667
1963,83,m,5462,2711,2751,1880,37324,2976,3447,37167
1964,83,f,9448,4390,5058,1881,82879,4463,4344,82918.66666666667
1964,83,m,5821,2756,3065,1881,38914,2711,2751,38900.666666666664
1965,83,f,9320,4560,4760,1882,85660,4390,5058,85437.33333333333
1965,83,m,5634,2786,2848,1882,38930,2756,3065,38827
1966,83,f,9449,4586,4863,1883,86580,4560,4760,86513.33333333333
1966,83,m,5714,2790,2924,1883,39491,2786,2848,39470.333333333336
1967,83,f,9977,4734,5243,1884,89851,4586,4863,89758.66666666667
1967,83,m,5982,2856,3126,1884,40522,2790,2924,40477.333333333336
1968,83,f,9769,4656,5113,1885,91751,4734,5243,91581.33333333333
1968,83,m,5901,2952,2949,1885,41273,2856,3126,41183
1969,83,f,9883,4966,4917,1886,92253,4656,5113,92100.66666666667
1969,83,m,6021,3099,2922,1886,40579,2952,2949,40580
1970,83,f,10151,4754,5397,1887,95457,4966,4917,95473.33333333333
1970,83,m,5913,2889,3024,1887,41628,3099,2922,41687
1971,83,f,9898,4927,4971,1888,97332,4754,5397,97117.66666666667
1971,83,m,5915,3011,2904,1888,42308,2889,3024,42263
1972,83,f,10411,4917,5494,1889,99488,4927,4971,99473.33333333333
1972,83,m,6049,2911,3138,1889,42669,3011,2904,42704.666666666664
1973,83,f,9542,4879,4663,1890,97875,4917,5494,97682.66666666667
1973,83,m,5589,2849,2740,1890,41187,2911,3138,41111.333333333336
1974,83,f,10637,5339,5298,1891,103839,4879,4663,103911
1974,83,m,6118,3044,3074,1891,43218,2849,2740,43254.333333333336
1975,83,f,10509,5079,5430,1892,103561,5339,5298,103574.66666666667
1975,83,m,5831,2873,2958,1892,41395,3044,3074,41385
1976,83,f,10275,5159,5116,1893,110278,5079,5430,110161
1976,83,m,5813,2973,2840,1893,43568,2873,2958,43539.666666666664
1977,83,f,10672,5092,5580,1894,112834,5159,5116,112848.33333333333
1977,83,m,5796,2852,2944,1894,43859,2973,2840,43903.333333333336
1978,83,f,10355,5177,5178,1895,112165,5092,5580,112002.33333333333
1978,83,m,5733,2985,2748,1895,43776,2852,2944,43745.333333333336
1979,83,f,10968,5443,5525,1896,122254,5177,5178,122253.66666666667
1979,83,m,6728,3341,3387,1896,51474,2985,2748,51553
1980,83,f,11452,5528,5924,1897,123541,5443,5525,123513.66666666667
1980,83,m,7242,3594,3648,1897,53891,3341,3387,53875.666666666664
1981,83,f,11109,5566,5543,1898,123184,5528,5924,123052
1981,83,m,7251,3695,3556,1898,55774,3594,3648,55756
1982,83,f,11355,5441,5914,1899,128690,5566,5543,128697.66666666667
1982,83,m,7971,3776,4195,1899,60197,3695,3556,60243.333333333336
1983,83,f,11298,5747,5551,1900,130642,5441,5914,130484.33333333333
1983,83,m,8073,4150,3923,1900,61999,3776,4195,61859.333333333336
1984,83,f,11792,5838,5954,1901,141260,5747,5551,141325.33333333334
1984,83,m,8530,4195,4335,1901,66788,4150,3923,66863.66666666667
1985,83,f,12016,5945,6071,1902,143736,5838,5954,143697.33333333334
1985,83,m,8650,4218,4432,1902,68848,4195,4335,68801.33333333333
1986,83,f,11101,5573,5528,1903,143024,5945,6071,142982
1986,83,m,8115,4123,3992,1903,68566,4218,4432,68494.66666666667
1987,83,f,10823,5418,5405,1904,146032,5573,5528,146047
1987,83,m,8060,4125,3935,1904,69634,4123,3992,69677.66666666667
1988,83,f,10869,5579,5290,1905,148617,5418,5405,148621.33333333334
1988,83,m,8131,4135,3996,1905,72371,4125,3935,72434.33333333333
1989,83,f,11177,5649,5528,1906,152800,5579,5290,152896.33333333334
1989,83,m,8570,4272,4298,1906,74524,4135,3996,74570.33333333333
1957,84,f,7880,4089,3791,1873,57862,3937,3959,57854.666666666664
1957,84,m,5071,2527,2544,1873,29376,2641,2684,29361.666666666668
1958,84,f,8194,4030,4164,1874,60897,4089,3791,60996.333333333336
1958,84,m,5224,2567,2657,1874,31013,2527,2544,31007.333333333332
1959,84,f,8425,3891,4534,1875,62881,4030,4164,62836.333333333336
