Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1984,91,m,2255,1118,1137,1893,9102,1075,1017,9121.333333333334
1985,91,f,7021,3466,3555,1894,35442,3354,3513,35389
1985,91,m,2251,1123,1128,1894,9176,1118,1137,9169.666666666666
1986,91,f,6424,3338,3086,1895,35911,3466,3555,35881.333333333336
1986,91,m,2193,1140,1053,1895,9123,1123,1128,9121.333333333334
1987,91,f,7145,3544,3601,1896,39779,3338,3086,39863
1987,91,m,2563,1297,1266,1896,11032,1140,1053,11061
1988,91,f,7323,3710,3613,1897,41335,3544,3601,41316
1988,91,m,2676,1351,1325,1897,11798,1297,1266,11808.333333333334
1989,91,f,7584,3845,3739,1898,42238,3710,3613,42270.333333333336
1989,91,m,2917,1442,1475,1898,12522,1351,1325,12530.666666666666
1990,91,f,7889,3899,3990,1899,45141,3845,3739,45176.333333333336
1990,91,m,3119,1539,1580,1899,13787,1442,1475,13776
1991,91,f,8182,4075,4107,1900,47467,3899,3990,47436.666666666664
1991,91,m,3183,1620,1563,1900,14461,1539,1580,14447.333333333334
1992,91,f,8709,4325,4384,1901,52608,4075,4107,52597.333333333336
1992,91,m,3444,1679,1765,1901,15947,1620,1563,15966
1993,91,f,9287,4860,4427,1902,55158,4325,4384,55138.333333333336
1993,91,m,3630,1820,1810,1902,17134,1679,1765,17105.333333333332
1994,91,f,8877,4485,4392,1903,56023,4860,4427,56167.333333333336
1994,91,m,3767,1864,1903,1903,17591,1820,1810,17594.333333333332
1995,91,f,9615,4745,4870,1904,58069,4485,4392,58100
1995,91,m,4022,2014,2008,1904,18442,1864,1903,18429
1996,91,f,10178,5088,5090,1905,60321,4745,4870,60279.333333333336
1996,91,m,4297,2125,2172,1905,19376,2014,2008,19378
1997,91,f,9954,4789,5165,1906,62618,5088,5090,62617.333333333336
1997,91,m,4309,2186,2123,1906,20051,2125,2172,20035.333333333332
1965,92,f,2750,1403,1347,1873,11384,1315,1489,11326
1965,92,m,1099,565,534,1873,3753,530,618,3723.6666666666665
1966,92,f,2984,1491,1493,1874,12182,1403,1347,12200.666666666666
1966,92,m,1226,583,643,1874,4242,565,534,4252.333333333333
1967,92,f,3117,1443,1674,1875,12823,1491,1493,12822.333333333334
1967,92,m,1311,644,667,1875,4349,583,643,4329
1968,92,f,3217,1621,1596,1876,13497,1443,1674,13420
1968,92,m,1328,685,643,1876,4475,644,667,4467.333333333333
1969,92,f,3385,1697,1688,1877,14251,1621,1596,14259.333333333334
1969,92,m,1329,707,622,1877,4707,685,643,4721
1970,92,f,3606,1750,1856,1878,14457,1697,1688,14460
1970,92,m,1269,613,656,1878,4673,707,622,4701.333333333333
1971,92,f,3539,1778,1761,1879,15190,1750,1856,15154.666666666666
1971,92,m,1314,694,620,1879,4783,613,656,4768.666666666667
1972,92,f,3764,1823,1941,1880,15640,1778,1761,15645.666666666666
1972,92,m,1369,693,676,1880,4940,694,620,4964.666666666667
1973,92,f,3785,1872,1913,1881,16692,1823,1941,16652.666666666668
1973,92,m,1383,682,701,1881,5187,693,676,5192.666666666667
1974,92,f,4156,2143,2013,1882,17652,1872,1913,17638.333333333332
1974,92,m,1487,752,735,1882,5212,682,701,5205.666666666667
1975,92,f,4236,2098,2138,1883,17837,2143,2013,17880.333333333332
1975,92,m,1456,748,708,1883,5388,752,735,5393.666666666667
1976,92,f,4262,2175,2087,1884,18720,2098,2138,18706.666666666668
1976,92,m,1413,750,663,1884,5463,748,708,5476.333333333333
1977,92,f,4400,2130,2270,1885,19636,2175,2087,19665.333333333332
1977,92,m,1496,700,796,1885,5682,750,663,5711
1978,92,f,4491,2228,2263,1886,20425,2130,2270,20378.333333333332
1978,92,m,1435,759,676,1886,5616,700,796,5584
1979,92,f,4685,2286,2399,1887,21248,2228,2263,21236.333333333332
1979,92,m,1565,765,800,1887,5808,759,676,5835.666666666667
1980,92,f,5194,2590,2604,1888,22813,2286,2399,22775.333333333332
1980,92,m,1650,824,826,1888,6181,765,800,6169.333333333333
1981,92,f,5001,2538,2463,1889,23308,2590,2604,23303.333333333332
1981,92,m,1549,791,758,1889,6268,824,826,6267.333333333333
1982,92,f,5152,2580,2572,1890,23650,2538,2463,23675
1982,92,m,1631,814,817,1890,6273,791,758,6284
1983,92,f,5450,2779,2671,1891,25155,2580,2572,25157.666666666668
1983,92,m,1700,896,804,1891,6632,814,817,6631
1984,92,f,5491,2692,2799,1892,25498,2779,2671,25534
1984,92,m,1659,828,831,1892,6358,896,804,6388.666666666667
1985,92,f,5751,2799,2952,1893,27574,2692,2799,27538.333333333332
1985,92,m,1748,895,853,1893,6847,828,831,6846
1986,92,f,5763,2888,2875,1894,28421,2799,2952,28370
1986,92,m,1748,903,845,1894,6925,895,853,6939
1987,92,f,5811,2950,2861,1895,29487,2888,2875,29491.333333333332
1987,92,m,1818,955,863,1895,6930,903,845,6949.333333333333
1988,92,f,6382,3282,3100,1896,32634,2950,2861,32663.666666666668
1988,92,m,2011,1058,953,1896,8469,955,863,8499.666666666666
1989,92,f,7007,3541,3466,1897,34012,3282,3100,34072.666666666664
1989,92,m,2254,1150,1104,1897,9122,1058,953,9157
1990,92,f,6575,3381,3194,1898,34654,3541,3466,34679
1990,92,m,2311,1175,1136,1898,9605,1150,1104,9620.333333333334
1991,92,f,7007,3507,3500,1899,37252,3381,3194,37314.333333333336
1991,92,m,2596,1275,1321,1899,10668,1175,1136,10681
1992,92,f,7226,3507,3719,1900,39285,3507,3500,39287.333333333336
1992,92,m,2645,1346,1299,1900,11278,1275,1321,11262.666666666666
1993,92,f,8156,4226,3930,1901,43899,3507,3719,43828.333333333336
1993,92,m,3078,1644,1434,1901,12503,1346,1299,12518.666666666666
1994,92,f,8147,4060,4087,1902,45871,4226,3930,45969.666666666664
1994,92,m,3142,1536,1606,1902,13504,1644,1434,13574
1995,92,f,8581,4375,4206,1903,47146,4060,4087,47137
1995,92,m,3276,1645,1631,1903,13824,1536,1606,13800.666666666666
1996,92,f,9067,4471,4596,1904,48454,4375,4206,48510.333333333336
1996,92,m,3418,1685,1733,1904,14420,1645,1631,14424.666666666666
1997,92,f,8839,4286,4553,1905,50143,4471,4596,50101.333333333336
1997,92,m,3537,1769,1768,1905,15079,1685,1733,15063
1998,92,f,9428,4670,4758,1906,52664,4286,4553,52575
1998,92,m,3769,1920,1849,1906,15742,1769,1768,15742.333333333334
1966,93,f,2270,1122,1148,1873,8634,1068,1011,8653
1966,93,m,806,420,386,1873,2654,400,402,2653.3333333333335
1967,93,f,2540,1231,1309,1874,9198,1122,1148,9189.333333333334
1967,93,m,938,451,487,1874,3016,420,386,3027.3333333333335
1968,93,f,2452,1263,1189,1875,9706,1231,1309,9680
1968,93,m,887,461,426,1875,3038,451,487,3026
1969,93,f,2732,1428,1304,1876,10280,1263,1189,10304.666666666666
1969,93,m,913,477,436,1876,3147,461,426,3158.6666666666665
1970,93,f,2916,1395,1521,1877,10866,1428,1304,10907.333333333334
1970,93,m,1041,488,553,1877,3378,477,436,3391.6666666666665
1971,93,f,2761,1380,1381,1878,10851,1395,1521,10809
1971,93,m,993,515,478,1878,3404,488,553,3382.3333333333335
1972,93,f,2989,1445,1544,1879,11651,1380,1381,11650.666666666666
1972,93,m,1055,512,543,1879,3469,515,478,3481.3333333333335
1973,93,f,2913,1454,1459,1880,11876,1445,1544,11843
1973,93,m,1042,546,496,1880,3571,512,543,3560.6666666666665
1974,93,f,3246,1652,1594,1881,12907,1454,1459,12905.333333333334
1974,93,m,1161,588,573,1881,3804,546,496,3820.6666666666665
1975,93,f,3451,1652,1799,1882,13496,1652,1594,13515.333333333334
1975,93,m,1130,571,559,1882,3725,588,573,3730
1976,93,f,3269,1692,1577,1883,13601,1652,1799,13552
1976,93,m,1091,560,531,1883,3932,571,559,3936
1977,93,f,3503,1728,1775,1884,14458,1692,1577,14496.333333333334
1977,93,m,1129,568,561,1884,4050,560,531,4059.6666666666665
1978,93,f,3599,1838,1761,1885,15236,1728,1775,15220.333333333334
1978,93,m,1222,652,570,1885,4186,568,561,4188.333333333333
1979,93,f,3769,1891,1878,1886,15934,1838,1761,15959.666666666666
1979,93,m,1147,587,560,1886,4181,652,570,4208.333333333333
1980,93,f,4041,1942,2099,1887,16563,1891,1878,16567.333333333332
1980,93,m,1231,591,640,1887,4243,587,560,4252
1981,93,f,4041,2037,2004,1888,17619,1942,2099,17566.666666666668
1981,93,m,1268,640,628,1888,4531,591,640,4514.666666666667
1982,93,f,4472,2166,2306,1889,18307,2037,2004,18318
1982,93,m,1386,686,700,1889,4719,640,628,4723
1983,93,f,4261,2289,1972,1890,18498,2166,2306,18451.333333333332
1983,93,m,1279,668,611,1890,4642,686,700,4637.333333333333
1984,93,f,4526,2261,2265,1891,19705,2289,1972,19810.666666666668
1984,93,m,1412,722,690,1891,4932,668,611,4951
1985,93,f,4669,2215,2454,1892,20007,2261,2265,20005.666666666668
1985,93,m,1346,669,677,1892,4699,722,690,4709.666666666667
1986,93,f,4662,2317,2345,1893,21823,2215,2454,21743.333333333332
1986,93,m,1333,662,671,1893,5099,669,677,5096.333333333333
1987,93,f,4794,2413,2381,1894,22658,2317,2345,22648.666666666668
1987,93,m,1382,733,649,1894,5177,662,671,5174
1988,93,f,5073,2526,2547,1895,23676,2413,2381,23686.666666666668
1988,93,m,1375,735,640,1895,5112,733,649,5140
1989,93,f,5830,2936,2894,1896,26252,2526,2547,26245
1989,93,m,1767,882,885,1896,6458,735,640,6489.666666666667
1990,93,f,5682,2861,2821,1897,27005,2936,2894,27019
1990,93,m,1738,921,817,1897,6868,882,885,6867
1991,93,f,5928,2989,2939,1898,28079,2861,2821,28092.333333333332
1991,93,m,1952,990,962,1898,7294,921,817,7328.666666666667
1992,93,f,6159,3028,3131,1899,30245,2989,2939,30261.666666666668
1992,93,m,2089,1038,1051,1899,8072,990,962,8081.333333333333
1993,93,f,6497,3314,3183,1900,32059,3028,3131,32024.666666666668
1993,93,m,2163,1076,1087,1900,8633,1038,1051,8628.666666666666
1994,93,f,6921,3505,3416,1901,35743,3314,3183,35786.666666666664
1994,93,m,2426,1228,1198,1901,9425,1076,1087,9421.333333333334
1995,93,f,7716,3860,3856,1902,37724,3505,3416,37753.666666666664
1995,93,m,2675,1363,1312,1902,10362,1228,1198,10372
1996,93,f,7681,3752,3929,1903,38565,3860,3856,38566.333333333336
1996,93,m,2798,1460,1338,1903,10548,1363,1312,10565
1997,93,f,7781,3722,4059,1904,39387,3752,3929,39328
1997,93,m,2695,1330,1365,1904,11002,1460,1338,11042.666666666666
1998,93,f,8057,4018,4039,1905,41304,3722,4059,41191.666666666664
1998,93,m,2910,1413,1497,1905,11542,1330,1365,11530.333333333334
1999,93,f,8586,4260,4326,1906,43236,4018,4039,43229
1999,93,m,3110,1550,1560,1906,11973,1413,1497,11945
1967,94,f,1814,832,982,1873,6364,803,922,6324.333333333333
1967,94,m,629,306,323,1873,1848,307,309,1847.3333333333333
1968,94,f,1835,930,905,1874,6658,832,982,6608
1968,94,m,659,305,354,1874,2078,306,323,2072.3333333333335
1969,94,f,2064,1022,1042,1875,7254,930,905,7262.333333333333
1969,94,m,718,382,336,1875,2151,305,354,2134.6666666666665
1970,94,f,2181,1028,1153,1876,7548,1022,1042,7541.333333333333
1970,94,m,682,331,351,1876,2234,382,336,2249.3333333333335
1971,94,f,2177,1122,1055,1877,7950,1028,1153,7908.333333333333
1971,94,m,672,334,338,1877,2337,331,351,2330.3333333333335
1972,94,f,2251,1042,1209,1878,8090,1122,1055,8112.333333333333
1972,94,m,739,374,365,1878,2411,334,338,2409.6666666666665
1973,94,f,2314,1188,1126,1879,8662,1042,1209,8606.333333333334
1973,94,m,769,408,361,1879,2414,374,365,2417
1974,94,f,2498,1261,1237,1880,8963,1188,1126,8983.666666666666
1974,94,m,782,422,360,1880,2529,408,361,2544.6666666666665
1975,94,f,2669,1347,1322,1881,9661,1261,1237,9669
1975,94,m,859,455,404,1881,2643,422,360,2663.6666666666665
1976,94,f,2655,1383,1272,1882,10045,1347,1322,10053.333333333334
1976,94,m,763,411,352,1882,2595,455,404,2612
1977,94,f,2653,1284,1369,1883,10332,1383,1272,10369
1977,94,m,825,414,411,1883,2841,411,352,2860.6666666666665
1978,94,f,2770,1405,1365,1884,10955,1284,1369,10926.666666666666
1978,94,m,916,441,475,1884,2921,414,411,2922
1979,94,f,2928,1431,1497,1885,11637,1405,1365,11650.333333333334
1979,94,m,870,426,444,1885,2964,441,475,2952.6666666666665
1980,94,f,3294,1609,1685,1886,12165,1431,1497,12143
1980,94,m,909,464,445,1886,3034,426,444,3028
1981,94,f,3200,1671,1529,1887,12522,1609,1685,12496.666666666666
1981,94,m,932,500,432,1887,3012,464,445,3018.3333333333335
1982,94,f,3467,1753,1714,1888,13578,1671,1529,13625.333333333334
1982,94,m,1003,487,516,1888,3263,500,432,3285.6666666666665
1983,94,f,3576,1888,1688,1889,13835,1753,1714,13848
1983,94,m,986,520,466,1889,3333,487,516,3323.3333333333335
1984,94,f,3610,1736,1874,1890,14237,1888,1688,14303.666666666666
1984,94,m,1004,470,534,1890,3363,520,466,3381
1985,94,f,3866,1840,2026,1891,15179,1736,1874,15133
1985,94,m,1127,607,520,1891,3520,470,534,3498.6666666666665
1986,94,f,3615,1844,1771,1892,15338,1840,2026,15276
1986,94,m,986,519,467,1892,3353,607,520,3382
1987,94,f,3898,1997,1901,1893,17161,1844,1771,17185.333333333332
1987,94,m,1098,589,509,1893,3766,519,467,3783.3333333333335
1988,94,f,4111,2092,2019,1894,17864,1997,1901,17896
1988,94,m,1010,521,489,1894,3795,589,509,3821.6666666666665
1989,94,f,4550,2324,2226,1895,18603,2092,2019,18627.333333333332
1989,94,m,1075,557,518,1895,3737,521,489,3747.6666666666665
1990,94,f,4681,2461,2220,1896,20422,2324,2226,20454.666666666668
1990,94,m,1339,683,656,1896,4691,557,518,4704
1991,94,f,4796,2340,2456,1897,21323,2461,2220,21403.333333333332
1991,94,m,1345,714,631,1897,5130,683,656,5139
1992,94,f,4824,2408,2416,1898,22151,2340,2456,22112.333333333332
1992,94,m,1495,759,736,1898,5342,714,631,5369.666666666667
1993,94,f,5155,2679,2476,1899,24086,2408,2416,24083.333333333332
1993,94,m,1801,964,837,1899,5983,759,736,5990.666666666667
1994,94,f,5475,2765,2710,1900,25562,2679,2476,25629.666666666668
1994,94,m,1725,866,859,1900,6470,964,837,6512.333333333333
1995,94,f,6415,3234,3181,1901,28822,2765,2710,28840.333333333332
1995,94,m,1965,1011,954,1901,6999,866,859,7001.333333333333
1996,94,f,6603,3229,3374,1902,30008,3234,3181,30025.666666666668
1996,94,m,2201,1107,1094,1902,7687,1011,954,7706
1997,94,f,6600,3240,3360,1903,30884,3229,3374,30835.666666666668
1997,94,m,2165,1102,1063,1903,7750,1107,1094,7754.333333333333
1998,94,f,6981,3439,3542,1904,31606,3240,3360,31566
1998,94,m,2300,1170,1130,1904,8307,1102,1063,8320
1999,94,f,7323,3666,3657,1905,33247,3439,3542,33212.666666666664
1999,94,m,2353,1182,1171,1905,8632,1170,1130,8645.333333333334
2000,94,f,7179,3664,3515,1906,34650,3666,3657,34653
2000,94,m,2346,1179,1167,1906,8863,1182,1171,8866.666666666666
1968,95,f,1382,680,702,1873,4550,681,720,4537
1968,95,m,414,202,212,1873,1219,227,214,1223.3333333333333
1969,95,f,1483,729,754,1874,4823,680,702,4815.666666666667
1969,95,m,472,241,231,1874,1419,202,212,1415.6666666666667
1970,95,f,1515,724,791,1875,5190,729,754,5181.666666666667
1970,95,m,483,234,249,1875,1433,241,231,1436.3333333333333
1971,95,f,1536,839,697,1876,5367,724,791,5344.666666666667
1971,95,m,517,276,241,1876,1552,234,249,1547
1972,95,f,1640,797,843,1877,5773,839,697,5820.333333333333
1972,95,m,568,269,299,1877,1665,276,241,1676.6666666666667
1973,95,f,1722,870,852,1878,5839,797,843,5823.666666666667
1973,95,m,547,279,268,1878,1672,269,299,1662
1974,95,f,1905,932,973,1879,6348,870,852,6354
1974,95,m,582,309,273,1879,1645,279,268,1648.6666666666667
1975,95,f,1940,974,966,1880,6465,932,973,6451.333333333333
1975,95,m,572,279,293,1880,1747,309,273,1759
1976,95,f,1900,946,954,1881,6992,974,966,6994.666666666667
1976,95,m,565,280,285,1881,1784,279,293,1779.3333333333333
1977,95,f,2114,1086,1028,1882,7390,946,954,7387.333333333333
1977,95,m,573,312,261,1882,1832,280,285,1830.3333333333333
1978,95,f,2025,1026,999,1883,7679,1086,1028,7698.333333333333
1978,95,m,632,327,305,1883,2016,312,261,2033
1979,95,f,2302,1129,1173,1884,8185,1026,999,8194
1979,95,m,632,302,330,1884,2005,327,305,2012.3333333333333
1980,95,f,2520,1228,1292,1885,8709,1129,1173,8694.333333333334
1980,95,m,699,356,343,1885,2094,302,330,2084.6666666666665
1981,95,f,2394,1219,1175,1886,8871,1228,1292,8849.666666666666
1981,95,m,671,357,314,1886,2125,356,343,2129.3333333333335
1982,95,f,2522,1247,1275,1887,9322,1219,1175,9336.666666666666
1982,95,m,663,333,330,1887,2080,357,314,2094.3333333333335
1983,95,f,2680,1402,1278,1888,10111,1247,1275,10101.666666666666
1983,95,m,722,365,357,1888,2260,333,330,2261
1984,95,f,2696,1342,1354,1889,10259,1402,1278,10300.333333333334
1984,95,m,703,346,357,1889,2347,365,357,2349.6666666666665
1985,95,f,2796,1425,1371,1890,10627,1342,1354,10623
1985,95,m,718,365,353,1890,2359,346,357,2355.3333333333335
1986,95,f,2943,1477,1466,1891,11313,1425,1371,11331
1986,95,m,727,380,347,1891,2393,365,353,2397
1987,95,f,2899,1451,1448,1892,11723,1477,1466,11726.666666666666
1987,95,m,688,353,335,1892,2367,380,347,2378
1988,95,f,3309,1655,1654,1893,13263,1451,1448,13264
1988,95,m,772,395,377,1893,2668,353,335,2674
1989,95,f,3612,1835,1777,1894,13753,1655,1654,13753.333333333334
1989,95,m,893,483,410,1894,2785,395,377,2791
1990,95,f,3408,1720,1688,1895,14053,1835,1777,14072.333333333334
1990,95,m,780,423,357,1895,2662,483,410,2686.3333333333335
1991,95,f,3907,1992,1915,1896,15741,1720,1688,15751.666666666666
1991,95,m,1019,529,490,1896,3352,423,357,3374
1992,95,f,3948,1975,1973,1897,16527,1992,1915,16552.666666666668
1992,95,m,1134,588,546,1897,3785,529,490,3798
1993,95,f,4192,2114,2078,1898,17327,1975,1973,17327.666666666668
1993,95,m,1164,626,538,1898,3847,588,546,3861
1994,95,f,4556,2249,2307,1899,18931,2114,2078,18943
1994,95,m,1222,635,587,1899,4182,626,538,4211.333333333333
1995,95,f,4855,2505,2350,1900,20087,2249,2307,20067.666666666668
1995,95,m,1383,701,682,1900,4745,635,587,4761
1996,95,f,5508,2681,2827,1901,22407,2505,2350,22458.666666666668
1996,95,m,1516,782,734,1901,5034,701,682,5040.333333333333
1997,95,f,5568,2720,2848,1902,23405,2681,2827,23356.333333333332
1997,95,m,1625,821,804,1902,5486,782,734,5502
1998,95,f,5755,2884,2871,1903,24284,2720,2848,24241.333333333332
1998,95,m,1637,831,806,1903,5585,821,804,5590.666666666667
1999,95,f,5899,2914,2985,1904,24625,2884,2871,24629.333333333332
1999,95,m,1780,931,849,1904,6007,831,806,6015.333333333333
2000,95,f,6038,3045,2993,1905,25924,2914,2985,25900.333333333332
2000,95,m,1863,946,917,1905,6279,931,849,6306.333333333333
2001,95,f,6429,3190,3239,1906,27471,3045,2993,27488.333333333332
2001,95,m,1879,923,956,1906,6517,946,917,6526.666666666667
1969,96,f,953,504,449,1873,3168,492,511,3161.6666666666665
1969,96,m,292,151,141,1873,805,130,149,798.6666666666666
1970,96,f,1065,526,539,1874,3340,504,449,3358.3333333333335
1970,96,m,316,146,170,1874,947,151,141,950.3333333333334
1971,96,f,1123,557,566,1875,3675,526,539,3670.6666666666665
1971,96,m,296,143,153,1875,950,146,170,942
1972,96,f,1221,627,594,1876,3831,557,566,3828
1972,96,m,357,178,179,1876,1035,143,153,1031.6666666666667
1973,96,f,1233,598,635,1877,4133,627,594,4144
1973,96,m,363,189,174,1877,1097,178,179,1096.6666666666667
1974,96,f,1343,681,662,1878,4117,598,635,4104.666666666667
1974,96,m,399,198,201,1878,1125,189,174,1130
1975,96,f,1395,721,674,1879,4443,681,662,4449.333333333333
1975,96,m,369,182,187,1879,1063,198,201,1062
1976,96,f,1313,685,628,1880,4525,721,674,4540.666666666667
1976,96,m,382,192,190,1880,1175,182,187,1173.3333333333333
1977,96,f,1492,753,739,1881,5092,685,628,5111
1977,96,m,408,204,204,1881,1219,192,190,1219.6666666666667
1978,96,f,1572,814,758,1882,5276,753,739,5280.666666666667
1978,96,m,399,203,196,1882,1259,204,204,1259
1979,96,f,1651,823,828,1883,5654,814,758,5672.666666666667
1979,96,m,452,223,229,1883,1384,203,196,1386.3333333333333
1980,96,f,1819,933,886,1884,5883,823,828,5881.333333333333
1980,96,m,458,237,221,1884,1373,223,229,1371
1981,96,f,1795,925,870,1885,6189,933,886,6204.666666666667
1981,96,m,493,250,243,1885,1395,237,221,1400.3333333333333
1982,96,f,1906,917,989,1886,6477,925,870,6495.333333333333
1982,96,m,504,266,238,1886,1454,250,243,1456.3333333333333
1983,96,f,1927,971,956,1887,6800,917,989,6776
1983,96,m,466,242,224,1887,1417,266,238,1426.3333333333333
1984,96,f,2164,1080,1084,1888,7431,971,956,7436
1984,96,m,536,270,266,1888,1538,242,224,1544
1985,96,f,2213,1081,1132,1889,7563,1080,1084,7561.666666666667
1985,96,m,536,273,263,1889,1644,270,266,1645.3333333333333
1986,96,f,2146,1103,1043,1890,7831,1081,1132,7814
1986,96,m,517,263,254,1890,1641,273,263,1644.3333333333333
1987,96,f,2256,1162,1094,1891,8370,1103,1043,8390
1987,96,m,548,290,258,1891,1666,263,254,1669
1988,96,f,2422,1255,1167,1892,8824,1162,1094,8846.666666666666
1988,96,m,557,273,284,1892,1679,290,258,1689.6666666666667
1989,96,f,2792,1426,1366,1893,9954,1255,1167,9983.333333333334
1989,96,m,613,314,299,1893,1896,273,284,1892.3333333333333
1990,96,f,2684,1367,1317,1894,10141,1426,1366,10161
1990,96,m,575,302,273,1894,1892,314,299,1897
1991,96,f,2841,1450,1391,1895,10645,1367,1317,10661.666666666666
1991,96,m,608,335,273,1895,1882,302,273,1891.6666666666667
1992,96,f,2983,1509,1474,1896,11834,1450,1391,11853.666666666666
1992,96,m,701,363,338,1896,2333,335,273,2353.6666666666665
1993,96,f,3243,1662,1581,1897,12579,1509,1474,12590.666666666666
1993,96,m,825,438,387,1897,2651,363,338,2659.3333333333335
1994,96,f,3333,1659,1674,1898,13135,1662,1581,13162
1994,96,m,840,405,435,1898,2683,438,387,2700
1995,96,f,3805,1892,1913,1899,14375,1659,1674,14370
1995,96,m,998,499,499,1899,2960,405,435,2950
1996,96,f,4040,1996,2044,1900,15232,1892,1913,15225
1996,96,m,1123,560,563,1900,3362,499,499,3362
1997,96,f,4298,2106,2192,1901,16899,1996,2044,16883
1997,96,m,1074,559,515,1901,3518,560,563,3517
1998,96,f,4609,2295,2314,1902,17837,2106,2192,17808.333333333332
1998,96,m,1201,617,584,1902,3861,559,515,3875.6666666666665
1999,96,f,4743,2363,2380,1903,18529,2295,2314,18522.666666666668
1999,96,m,1276,677,599,1903,3948,617,584,3959
2000,96,f,4661,2380,2281,1904,18726,2363,2380,18720.333333333332
2000,96,m,1261,648,613,1904,4227,677,599,4253
2001,96,f,5064,2553,2511,1905,19886,2380,2281,19919
2001,96,m,1387,708,679,1905,4416,648,613,4427.666666666667
2002,96,f,5348,2604,2744,1906,21042,2553,2511,21056
2002,96,m,1397,700,697,1906,4638,708,679,4647.666666666667
1970,97,f,750,337,413,1873,2215,377,352,2223.3333333333335
1970,97,m,200,101,99,1873,513,109,88,520
1971,97,f,702,339,363,1874,2275,337,413,2249.6666666666665
1971,97,m,207,108,99,1874,631,101,99,631.6666666666666
1972,97,f,862,428,434,1875,2552,339,363,2544
1972,97,m,239,113,126,1875,654,108,99,657
1973,97,f,862,439,423,1876,2610,428,434,2608
1973,97,m,254,138,116,1876,678,113,126,673.6666666666666
1974,97,f,944,469,475,1877,2900,439,423,2905.3333333333335
1974,97,m,278,147,131,1877,734,138,116,741.3333333333334
1975,97,f,953,467,486,1878,2774,469,475,2772
1975,97,m,299,147,152,1878,726,147,131,731.3333333333334
1976,97,f,983,480,503,1879,3048,467,486,3041.6666666666665
1976,97,m,229,114,115,1879,694,147,152,692.3333333333334
1977,97,f,1041,502,539,1880,3212,480,503,3204.3333333333335
1977,97,m,254,129,125,1880,793,114,115,792.6666666666666
1978,97,f,1088,547,541,1881,3600,502,539,3587.6666666666665
1978,97,m,311,165,146,1881,811,129,125,812.3333333333334
1979,97,f,1156,573,583,1882,3704,547,541,3706
1979,97,m,270,133,137,1882,860,165,146,866.3333333333334
1980,97,f,1268,600,668,1883,4003,573,583,3999.6666666666665
1980,97,m,323,163,160,1883,932,133,137,930.6666666666666
1981,97,f,1212,625,587,1884,4064,600,668,4041.3333333333335
1981,97,m,302,158,144,1884,915,163,160,916
1982,97,f,1357,681,676,1885,4394,625,587,4406.666666666667
1982,97,m,317,158,159,1885,902,158,144,906.6666666666666
1983,97,f,1385,708,677,1886,4571,681,676,4572.666666666667
1983,97,m,327,174,153,1886,950,158,159,949.6666666666666
1984,97,f,1528,732,796,1887,4873,708,677,4883.333333333333
1984,97,m,344,180,164,1887,951,174,153,958
1985,97,f,1634,807,827,1888,5267,732,796,5245.666666666667
1985,97,m,369,193,176,1888,1002,180,164,1007.3333333333334
1986,97,f,1555,834,721,1889,5350,807,827,5343.333333333333
1986,97,m,357,189,168,1889,1108,193,176,1113.6666666666667
1987,97,f,1657,810,847,1890,5685,834,721,5722.666666666667
1987,97,m,362,187,175,1890,1124,189,168,1131
1988,97,f,1730,885,845,1891,6114,810,847,6101.666666666667
1988,97,m,366,202,164,1891,1118,187,175,1122
1989,97,f,1823,919,904,1892,6402,885,845,6415.333333333333
1989,97,m,395,204,191,1892,1122,202,164,1134.6666666666667
1990,97,f,2062,1078,984,1893,7162,919,904,7167
1990,97,m,437,228,209,1893,1283,204,191,1287.3333333333333
1991,97,f,2108,1103,1005,1894,7457,1078,984,7488.333333333333
1991,97,m,436,229,207,1894,1317,228,209,1323.3333333333333
1992,97,f,2208,1098,1110,1895,7804,1103,1005,7836.666666666667
1992,97,m,444,225,219,1895,1274,229,207,1281.3333333333333
1993,97,f,2447,1343,1104,1896,8851,1098,1110,8847
1993,97,m,527,262,265,1896,1632,225,219,1634
1994,97,f,2514,1234,1280,1897,9336,1343,1104,9415.666666666666
1994,97,m,580,302,278,1897,1826,262,265,1825
1995,97,f,2735,1374,1361,1898,9802,1234,1280,9786.666666666666
1995,97,m,636,350,286,1898,1843,302,278,1851
1996,97,f,2973,1464,1509,1899,10570,1374,1361,10574.333333333334
1996,97,m,679,343,336,1899,1962,350,286,1983.3333333333333
1997,97,f,3070,1483,1587,1900,11192,1464,1509,11177
1997,97,m,730,375,355,1900,2239,343,336,2241.3333333333335
1998,97,f,3524,1777,1747,1901,12601,1483,1587,12566.333333333334
1998,97,m,822,404,418,1901,2444,375,355,2450.6666666666665
1999,97,f,3661,1871,1790,1902,13228,1777,1747,13238
1999,97,m,885,441,444,1902,2660,404,418,2655.3333333333335
2000,97,f,3559,1780,1779,1903,13786,1871,1790,13813
2000,97,m,903,467,436,1903,2672,441,444,2671
2001,97,f,3963,2048,1915,1904,14065,1780,1779,14065.333333333334
2001,97,m,1004,524,480,1904,2966,467,436,2976.3333333333335
2002,97,f,4104,2072,2032,1905,14822,2048,1915,14866.333333333334
2002,97,m,1050,543,507,1905,3029,524,480,3043.6666666666665
