Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Country,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1996,97,f,126,61,65,1899,fin,403,85,61,411
1996,97,m,35,17,18,1899,fin,104,16,24,101.33333333333333
1997,97,f,454,238,216,1900,swe,1481,227,205,1488.3333333333333
1997,97,m,136,78,58,1900,swe,374,56,78,366.6666666666667
1997,97,f,237,126,111,1900,dnk,732,111,111,732
1997,97,m,74,41,33,1900,dnk,203,40,40,203
1997,97,f,133,63,70,1900,fin,427,61,65,425.6666666666667
1997,97,m,35,17,18,1900,fin,101,17,18,100.66666666666667
1998,97,f,483,230,253,1901,swe,1559,238,216,1566.3333333333333
1998,97,m,131,69,62,1901,swe,391,78,58,397.6666666666667
1998,97,f,249,111,138,1901,dnk,851,126,111,856
1998,97,m,67,37,30,1901,dnk,193,41,33,195.66666666666666
1998,97,f,165,71,94,1901,fin,498,63,70,495.6666666666667
1998,97,m,39,16,23,1901,fin,108,17,18,107.66666666666667
1999,97,f,515,267,248,1902,swe,1667,230,253,1659.3333333333333
1999,97,m,150,82,68,1902,swe,426,69,62,428.3333333333333
1999,97,f,242,129,113,1902,dnk,857,111,138,848
1999,97,m,81,40,41,1902,dnk,223,37,30,225.33333333333334
1999,97,f,148,64,84,1902,fin,500,71,94,492.3333333333333
1999,97,m,43,22,21,1902,fin,102,16,23,99.66666666666667
2000,97,f,530,277,253,1903,swe,1798,267,248,1804.3333333333333
2000,97,m,144,72,72,1903,swe,419,82,68,423.6666666666667
2000,97,f,250,143,107,1903,dnk,873,129,113,878.3333333333334
2000,97,m,76,44,32,1903,dnk,217,40,41,216.66666666666666
2000,97,f,152,69,83,1903,fin,522,64,84,515.3333333333334
2000,97,m,47,29,18,1903,fin,105,22,21,105.33333333333333
2001,97,f,554,280,274,1904,swe,1843,277,253,1851
2001,97,m,166,87,79,1904,swe,417,72,72,417
2001,97,f,310,148,162,1904,dnk,972,143,107,984
2001,97,m,75,37,38,1904,dnk,218,44,32,222
2001,97,f,188,91,97,1904,fin,565,69,83,560.3333333333334
2001,97,m,62,31,31,1904,fin,124,29,18,127.66666666666667
