Year,Sex,Age,AgeInterval,Lexis,Deaths
1757,f,50,5,RR,865
1757,f,55,5,RR,1073
1757,f,60,5,RR,1372
1757,f,65,5,RR,1496
1757,f,70,5,RR,1758
1757,f,75,5,RR,1423
1757,f,80,5,RR,1083
1757,f,85,5,RR,585
1757,f,90,+,RR,303
1757,m,0,1,RR,7239
1757,m,1,2,RR,3300
1757,m,3,2,RR,1828
1757,m,5,5,RR,1565
1757,m,10,5,RR,701
1757,m,15,5,RR,531
1757,m,20,5,RR,747
1757,m,25,5,RR,752
1757,m,30,5,RR,836
1757,m,35,5,RR,702
1757,m,40,5,RR,894
1757,m,45,5,RR,813
1757,m,50,5,RR,947
1757,m,55,5,RR,933
1757,m,60,5,RR,1127
1757,m,65,5,RR,1086
1757,m,70,5,RR,1220
1757,m,75,5,RR,980
1757,m,80,5,RR,627
1757,m,85,5,RR,294
1757,m,90,+,RR,156
1758,f,0,1,RR,6040
1758,f,1,2,RR,2771
1758,f,3,2,RR,1403
1758,f,5,5,RR,1418
1758,f,10,5,RR,627
1758,f,15,5,RR,547
1758,f,20,5,RR,715
1758,f,25,5,RR,928
1758,f,30,5,RR,1095
1758,f,35,5,RR,836
1758,f,40,5,RR,1109
1758,f,45,5,RR,961
1758,f,50,5,RR,1244
1758,f,55,5,RR,1305
1758,f,60,5,RR,1753
1758,f,65,5,RR,1852
1758,f,70,5,RR,2384
1758,f,75,5,RR,1830
1758,f,80,5,RR,1300
1758,f,85,5,RR,659
1758,f,90,+,RR,388
1758,m,0,1,RR,7160
1758,m,1,2,RR,2882
1758,m,3,2,RR,1508
1758,m,5,5,RR,1517
1758,m,10,5,RR,709
1758,m,15,5,RR,620
1758,m,20,5,RR,887
1758,m,25,5,RR,939
1758,m,30,5,RR,947
1758,m,35,5,RR,937
1758,m,40,5,RR,1096
1758,m,45,5,RR,1065
1758,m,50,5,RR,1219
1758,m,55,5,RR,1319
1758,m,60,5,RR,1301
1758,m,65,5,RR,1302
1758,m,70,5,RR,1424
1758,m,75,5,RR,1154
1758,m,80,5,RR,791
1758,m,85,5,RR,393
1758,m,90,+,RR,192
1759,f,0,1,RR,5471
1759,f,1,2,RR,1944
1759,f,3,2,RR,1004
1759,f,5,5,RR,956
1759,f,10,5,RR,617
1759,f,15,5,RR,511
1759,f,20,5,RR,614
1759,f,25,5,RR,727
1759,f,30,5,RR,895
1759,f,35,5,RR,706
1759,f,40,5,RR,930
1759,f,45,5,RR,755
1759,f,50,5,RR,875
1759,f,55,5,RR,1031
1759,f,60,5,RR,1316
1759,f,65,5,RR,1383
1759,f,70,5,RR,1809
1759,f,75,5,RR,1461
1759,f,80,5,RR,1040
1759,f,85,5,RR,523
1759,f,90,+,RR,286
1759,m,0,1,RR,6646
1759,m,1,2,RR,1943
1759,m,3,2,RR,1045
1759,m,5,5,RR,1103
1759,m,10,5,RR,605
1759,m,15,5,RR,520
1759,m,20,5,RR,672
1759,m,25,5,RR,785
1759,m,30,5,RR,861
1759,m,35,5,RR,728
1759,m,40,5,RR,956
1759,m,45,5,RR,956
1759,m,50,5,RR,977
1759,m,55,5,RR,1082
1759,m,60,5,RR,1050
1759,m,65,5,RR,1055
1759,m,70,5,RR,1129
1759,m,75,5,RR,1012
1759,m,80,5,RR,661
1759,m,85,5,RR,332
1759,m,90,+,RR,190
1760,f,0,1,RR,5736
1760,f,1,2,RR,1615
1760,f,3,2,RR,933
1760,f,5,5,RR,892
1760,f,10,5,RR,473
1760,f,15,5,RR,492
1760,f,20,5,RR,551
1760,f,25,5,RR,729
1760,f,30,5,RR,896
1760,f,35,5,RR,724
1760,f,40,5,RR,988
1760,f,45,5,RR,817
1760,f,50,5,RR,795
1760,f,55,5,RR,920
1760,f,60,5,RR,1291
1760,f,65,5,RR,1251
1760,f,70,5,RR,1615
1760,f,75,5,RR,1279
1760,f,80,5,RR,993
1760,f,85,5,RR,473
1760,f,90,+,RR,285
1760,m,0,1,RR,6519
1760,m,1,2,RR,1821
1760,m,3,2,RR,895
1760,m,5,5,RR,978
1760,m,10,5,RR,516
1760,m,15,5,RR,519
1760,m,20,5,RR,639
1760,m,25,5,RR,684
1760,m,30,5,RR,801
1760,m,35,5,RR,786
1760,m,40,5,RR,949
1760,m,45,5,RR,923
1760,m,50,5,RR,961
1760,m,55,5,RR,994
1760,m,60,5,RR,1092
1760,m,65,5,RR,933
1760,m,70,5,RR,1037
1760,m,75,5,RR,813
1760,m,80,5,RR,681
1760,m,85,5,RR,297
1760,m,90,+,RR,135
1761,f,0,1,RR,6506
1761,f,1,2,RR,2353
1761,f,3,2,RR,1209
1761,f,5,5,RR,1217
1761,f,10,5,RR,521
1761,f,15,5,RR,509
1761,f,20,5,RR,566
1761,f,25,5,RR,635
1761,f,30,5,RR,821
1761,f,35,5,RR,717
1761,f,40,5,RR,820
1761,f,45,5,RR,675
1761,f,50,5,RR,791
1761,f,55,5,RR,741
1761,f,60,5,RR,1147
1761,f,65,5,RR,1126
1761,f,70,5,RR,1538
1761,f,75,5,RR,1224
1761,f,80,5,RR,1017
1761,f,85,5,RR,491
1761,f,90,+,RR,275
1761,m,0,1,RR,7561
1761,m,1,2,RR,2323
1761,m,3,2,RR,1182
1761,m,5,5,RR,1319
1761,m,10,5,RR,541
1761,m,15,5,RR,554
1761,m,20,5,RR,607
1761,m,25,5,RR,594
1761,m,30,5,RR,749
1761,m,35,5,RR,656
1761,m,40,5,RR,817
1761,m,45,5,RR,790
1761,m,50,5,RR,880
1761,m,55,5,RR,845
1761,m,60,5,RR,1046
1761,m,65,5,RR,965
1761,m,70,5,RR,962
1761,m,75,5,RR,797
1761,m,80,5,RR,650
1761,m,85,5,RR,268
1761,m,90,+,RR,138
1762,f,0,1,RR,7807
1762,f,1,2,RR,3307
1762,f,3,2,RR,1693
1762,f,5,5,RR,1615
1762,f,10,5,RR,711
1762,f,15,5,RR,504
1762,f,20,5,RR,573
1762,f,25,5,RR,656
1762,f,30,5,RR,926
1762,f,35,5,RR,750
1762,f,40,5,RR,1005
1762,f,45,5,RR,821
1762,f,50,5,RR,907
1762,f,55,5,RR,948
1762,f,60,5,RR,1423
1762,f,65,5,RR,1356
1762,f,70,5,RR,1768
1762,f,75,5,RR,1479
1762,f,80,5,RR,1333
1762,f,85,5,RR,567
1762,f,90,+,RR,298
1762,m,0,1,RR,8521
1762,m,1,2,RR,3327
1762,m,3,2,RR,1631
1762,m,5,5,RR,1670
1762,m,10,5,RR,839
1762,m,15,5,RR,540
1762,m,20,5,RR,641
1762,m,25,5,RR,767
1762,m,30,5,RR,809
1762,m,35,5,RR,777
1762,m,40,5,RR,1056
1762,m,45,5,RR,954
1762,m,50,5,RR,1125
1762,m,55,5,RR,986
1762,m,60,5,RR,1336
1762,m,65,5,RR,1048
1762,m,70,5,RR,1182
1762,m,75,5,RR,992
1762,m,80,5,RR,828
1762,m,85,5,RR,341
1762,m,90,+,RR,177
1763,f,0,1,RR,7684
1763,f,1,2,RR,3629
1763,f,3,2,RR,2004
1763,f,5,5,RR,1795
1763,f,10,5,RR,716
1763,f,15,5,RR,570
1763,f,20,5,RR,667
1763,f,25,5,RR,765
1763,f,30,5,RR,1040
1763,f,35,5,RR,845
1763,f,40,5,RR,1149
1763,f,45,5,RR,894
1763,f,50,5,RR,1044
1763,f,55,5,RR,996
1763,f,60,5,RR,1542
1763,f,65,5,RR,1364
1763,f,70,5,RR,1871
1763,f,75,5,RR,1582
1763,f,80,5,RR,1222
1763,f,85,5,RR,593
1763,f,90,+,RR,334
1763,m,0,1,RR,8714
1763,m,1,2,RR,3675
1763,m,3,2,RR,1954
1763,m,5,5,RR,1783
1763,m,10,5,RR,821
1763,m,15,5,RR,679
1763,m,20,5,RR,813
1763,m,25,5,RR,882
1763,m,30,5,RR,987
1763,m,35,5,RR,945
1763,m,40,5,RR,1127
1763,m,45,5,RR,1081
1763,m,50,5,RR,1224
1763,m,55,5,RR,1102
1763,m,60,5,RR,1427
1763,m,65,5,RR,1063
1763,m,70,5,RR,1216
1763,m,75,5,RR,983
1763,m,80,5,RR,825
1763,m,85,5,RR,394
1763,m,90,+,RR,179
1764,f,0,1,RR,6483
1764,f,1,2,RR,2184
1764,f,3,2,RR,1111
1764,f,5,5,RR,1131
1764,f,10,5,RR,636
1764,f,15,5,RR,550
1764,f,20,5,RR,605
1764,f,25,5,RR,722
1764,f,30,5,RR,925
1764,f,35,5,RR,744
1764,f,40,5,RR,1058
1764,f,45,5,RR,824
1764,f,50,5,RR,1040
1764,f,55,5,RR,926
1764,f,60,5,RR,1588
1764,f,65,5,RR,1303
1764,f,70,5,RR,1636
1764,f,75,5,RR,1375
1764,f,80,5,RR,1197
1764,f,85,5,RR,538
1764,f,90,+,RR,327
1764,m,0,1,RR,7613
1764,m,1,2,RR,2274
1764,m,3,2,RR,1281
1764,m,5,5,RR,1193
1764,m,10,5,RR,688
1764,m,15,5,RR,600
1764,m,20,5,RR,705
1764,m,25,5,RR,780
1764,m,30,5,RR,854
1764,m,35,5,RR,853
1764,m,40,5,RR,1039
1764,m,45,5,RR,964
1764,m,50,5,RR,1121
1764,m,55,5,RR,977
1764,m,60,5,RR,1337
1764,m,65,5,RR,1007
1764,m,70,5,RR,1078
1764,m,75,5,RR,888
1764,m,80,5,RR,697
1764,m,85,5,RR,344
1764,m,90,+,RR,168
1765,f,0,1,RR,6411
1765,f,1,2,RR,2182
1765,f,3,2,RR,1101
1765,f,5,5,RR,1160
1765,f,10,5,RR,587
1765,f,15,5,RR,547
1765,f,20,5,RR,600
1765,f,25,5,RR,778
1765,f,30,5,RR,902
1765,f,35,5,RR,769
1765,f,40,5,RR,1037
1765,f,45,5,RR,877
